trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,-60,-173.38249215202077,"{0: 54, 1: 8, 2: 16, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,-100,-591.6267249713912,"{0: 69, 1: 18, 2: 27, 3: 5, 4: 6}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,-100,-629.0514637214355,"{0: 81, 1: 9, 2: 17, 3: 9, 4: 9}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,-28,-287.1221665829314,"{0: 26, 1: 4, 2: 13, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,2,-4.889528534463601,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,-86,-451.15282113053564,"{0: 81, 1: 10, 2: 12, 3: 6, 4: 7}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,-12,-280.11240006086837,"{0: 30, 1: 8, 2: 2, 3: 1, 4: 6}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,-4,-39.2167519644804,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,9,-85.10502320349038,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,0,-31.347628967230325,"{0: 30, 1: 0, 2: 4, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,-2,-103.5417019442562,"{0: 15, 1: 0, 2: 3, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,-25,-131.40382083416827,"{0: 33, 1: 1, 2: 8, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,16,8.351005468446601,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,-6,-73.43350573150843,"{0: 24, 1: 1, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,-34,-180.53256458403592,"{0: 44, 1: 1, 2: 3, 3: 1, 4: 5}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,-23,37.81031059530553,"{0: 46, 1: 0, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,-19,-39.5115292215782,"{0: 36, 1: 0, 2: 6, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,-11,8.806830087874385,"{0: 27, 1: 2, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-6.253135827336201,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,4,26.881558878670628,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,4,18.867540777301823,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,13,21.59383679118409,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,4,-2.870864957537261,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,-20,10.98878834744693,"{0: 42, 1: 1, 2: 1, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,-22,-22.349318528152434,"{0: 38, 1: 0, 2: 1, 3: 2, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,7,22.028933845398445,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,10,18.359770289441382,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,-28,-16.252212149254774,"{0: 45, 1: 0, 2: 1, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,8,16.78058716353743,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,-14,-21.563557705742422,"{0: 37, 1: 0, 2: 0, 3: 0, 4: 2}",0
