trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-63,-358.9987915265935,"{0: 51, 1: 8, 2: 17, 3: 3, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.9900498337491681}",30,-100,-705.0618185914172,"{0: 88, 1: 7, 2: 18, 3: 3, 4: 14}",0
3,False,"{'a': 0.5, 'e': 0.9801986733067553}",20,-55,-262.7095473029972,"{0: 52, 1: 5, 2: 13, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,-46,-222.8427694320445,"{0: 44, 1: 8, 2: 9, 3: 2, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9607894391523232}",25,-27,-166.00812392014348,"{0: 33, 1: 6, 2: 11, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.951229424500714}",20,-100,-300.1786248401338,"{0: 83, 1: 7, 2: 24, 3: 5, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,-100,-376.8542944914007,"{0: 86, 1: 7, 2: 20, 3: 1, 4: 6}",0
8,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,4,-44.64101167730548,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,-64,-410.73881227762723,"{0: 57, 1: 5, 2: 13, 3: 1, 4: 8}",0
10,False,"{'a': 0.5, 'e': 0.9139311852712282}",20,-33,-264.1896056547004,"{0: 33, 1: 5, 2: 9, 3: 2, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.9048374180359595}",20,-100,-670.2298605198047,"{0: 78, 1: 7, 2: 20, 3: 2, 4: 13}",0
12,False,"{'a': 0.5, 'e': 0.8958341352965282}",25,-74,-467.2578990770523,"{0: 68, 1: 8, 2: 10, 3: 5, 4: 8}",0
13,False,"{'a': 0.5, 'e': 0.8869204367171575}",30,-100,-421.68930408177437,"{0: 89, 1: 17, 2: 13, 3: 5, 4: 6}",0
14,False,"{'a': 0.5, 'e': 0.8780954309205613}",20,-61,-746.1183967205966,"{0: 40, 1: 7, 2: 17, 3: 4, 4: 13}",0
15,False,"{'a': 0.5, 'e': 0.8693582353988059}",25,-28,-134.8327878591681,"{0: 37, 1: 6, 2: 8, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8607079764250578}",30,-5,-165.29523761426267,"{0: 24, 1: 1, 2: 6, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8521437889662113}",25,-70,-315.2085648181746,"{0: 64, 1: 5, 2: 19, 3: 4, 4: 3}",0
