trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-100,-106.21788243460028,"{0: 72, 1: 48, 2: 0, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-100,-116.73458845898726,"{0: 72, 1: 48, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,-100,-128.839000052321,"{0: 70, 1: 50, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,-100,-105.30896081346103,"{0: 77, 1: 48, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,-100,-64.65282839429362,"{0: 85, 1: 45, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,-100,-103.50887978653398,"{0: 74, 1: 46, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,-100,-113.32706583492038,"{0: 75, 1: 50, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,-100,-83.23392392034825,"{0: 81, 1: 44, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,-100,-165.45884672123188,"{0: 70, 1: 60, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,-100,-158.56039922842615,"{0: 68, 1: 57, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,-100,-116.40701105302325,"{0: 72, 1: 48, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,-100,-104.19494291733963,"{0: 72, 1: 48, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,-100,-131.83346941662467,"{0: 69, 1: 51, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,-100,-94.71187520370877,"{0: 74, 1: 46, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,-100,-127.82066610871847,"{0: 73, 1: 52, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,-100,-122.52829611447012,"{0: 69, 1: 51, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,-100,-144.7300541417578,"{0: 69, 1: 51, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,-100,-131.2956007299917,"{0: 72, 1: 53, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,-100,-138.42774949687137,"{0: 69, 1: 56, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,-100,-110.4270450983465,"{0: 73, 1: 47, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,-100,-132.85206244198875,"{0: 76, 1: 54, 2: 0, 3: 0, 4: 0}",0
